date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2/15/2015,538909.0274,1577,14819700,2.76,212369,2599.071432,6.33823777
2/16/2015,425586.392,1548,14226400,2.75,76067,2837.364388,4.15038378
2/17/2015,296644.6432,1388,14143700,2.63,103557,2743.928575,3.5169801
2/18/2015,2233364.4,1744,13550000,2.84,98988,2681.71429,2.52596805
2/19/2015,1579138.739,1872,14398200,2.83,84624,2613.000004,3.00758001
2/20/2015,217270.6058,1704,14519800,2.74,61415,2622.285718,4.64966597
2/21/2015,247074.1906,2661,14076800,2.78,110159,2588.857147,4.07881243
2/22/2015,551550.5385,2531,14299700,2.53,75804,2591.642861,2.37020335
2/23/2015,384842.1804,2353,13148500,2.52,80898,2615.785718,4.73995382
2/24/2015,1800188.746,2125,13013100,2.94,170477,2821.928575,3.93754796
